"","COMMUNITY.AREA.NAME","LATITUDE","LONGITUDE","ca_lat","ca_long","dist","PER.CAPITA.INCOME"
"1","ALBANY PARK",41.96843458,-87.72048101,41.9685214968,-87.7242968642,0.315410511786248,21323
"2","ARCHER HEIGHTS",41.81145154,-87.72357465,41.8108057501,-87.7261946005,0.228549773618173,16134
"3","ARMOUR SQUARE",41.84160448,-87.6319155,41.8355730831,-87.6327969209,0.674169538806338,16148
"4","ASHBURN",41.73527409,-87.70351128,41.7479965961,-87.7097602555,1.50567783567753,23482
"5","AUBURN GRESHAM",41.74278773,-87.65338425,41.7433892895,-87.6560762112,0.232987736724041,15528
"6","AUSTIN",41.89104929,-87.75973284,41.8910900595,-87.7578638566,0.154667675255306,15957
"7","AVALON PARK",41.75274564,-87.58752349,41.7468320813,-87.5884575898,0.661661872216715,24454
"8","AVONDALE",41.93940519,-87.71090059,41.9392149716,-87.7097633826,0.0963453714910132,20039
"9","BELMONT CRAGIN",41.92589288,-87.76620483,41.9263941927,-87.7661047873,0.0563164223556958,15461
"10","BEVERLY",41.70647332,-87.66935499,41.7172935904,-87.6718779194,1.22042607986291,39523
"11","BRIDGEPORT",41.83107494,-87.64597111,41.8364094528,-87.6495756283,0.663655601297092,22694
"12","BRIGHTON PARK",41.81757931,-87.69832059,41.8193645108,-87.6992107787,0.211626653015031,13089
"13","CALUMET HEIGHTS",41.72624035,-87.57429226,41.7298934908,-87.5732266544,0.415444652434658,28887
"14","CHATHAM",41.73614513,-87.62691784,41.7369587398,-87.6141762618,1.06038337802946,18881
"15","CHICAGO LAWN",41.76836584,-87.68830091,41.7718490507,-87.6957459675,0.728367931082472,13231
"16","CLEARING",41.77795816,-87.7722942,41.7784604949,-87.7691760044,0.26435122131093,25113
"17","DOUGLAS",41.8326245,-87.6168411,41.8347038756,-87.6171477769,0.23245113181105,23791
"18","DUNNING",41.94523382,-87.80292664,41.9472647826,-87.8065387554,0.374238251433035,26282
"19","EAST SIDE",41.7028061,-87.52770401,41.7078837291,-87.5350168141,0.82849008206174,17104
"20","EDGEWATER",41.99118175,-87.66015508,41.9872697225,-87.6638356705,0.530449636537649,33385
"21","EDISON PARK",42.00439926,-87.81848576,42.0071782573,-87.8139980221,0.482359212441486,40959
"22","ENGLEWOOD",41.77412895,-87.649646,41.7753382464,-87.65429004,0.407636758774722,11888
"23","FULLER PARK",41.79623488,-87.63040492,41.8090762545,-87.6323953038,1.4364267511235,10432
"24","GAGE PARK",41.79381183,-87.6931506,41.7954730255,-87.6962881227,0.318803291900942,12171
"25","GARFIELD RIDGE",41.80746088,-87.74706057,41.8034030172,-87.74548722,0.469364615475399,26353
"26","GRAND BOULEVARD",41.81648632,-87.61919683,41.8129289177,-87.617830145,0.411183825863828,23472
"27","HEGEWISCH",41.68105956,-87.53936754,41.6681847196,-87.535666873,1.46325268418571,22677
"28","HERMOSA",41.92447264,-87.73678951,41.926225868,-87.7351571795,0.236995032614694,15089
"29","HUMBOLDT PARK",41.90247367,-87.71681747,41.9009141888,-87.7165362645,0.174843275244536,13781
"30","HYDE PARK",41.79141057,-87.58953263,41.7942540226,-87.5925847189,0.404684109557676,39056
"31","IRVING PARK",41.9561262,-87.72248283,41.9535127841,-87.7187601482,0.423048983200575,27249
"32","JEFFERSON PARK",41.9727915,-87.77637186,41.9825042406,-87.7727592817,1.11977780303906,27751
"33","KENWOOD",41.80977273,-87.59496089,41.8095969644,-87.5965572426,0.133652320809344,35911
"34","LAKE VIEW",41.94800455,-87.66418623,41.9469886863,-87.6650193936,0.132226876643401,60058
"35","LINCOLN PARK",41.92496618,-87.63992602,41.9218996167,-87.6388934806,0.351287145395756,71551
"36","LINCOLN SQUARE",41.9768951,-87.69227967,41.9760184492,-87.6895913517,0.24250432661774,37524
"37","LOGAN SQUARE",41.91756242,-87.71175511,41.9228641464,-87.7070615162,0.705459658101765,31908
"38","LOOP",41.8714442,-87.62607513,41.8781100319,-87.6310405794,0.847018332752952,65526
"39","LOWER WEST SIDE",41.8521512,-87.6700746,41.8474095052,-87.6719351624,0.548942504616994,16444
"40","MCKINLEY PARK",41.8313499,-87.67584785,41.8310103209,-87.6723801605,0.289583192687458,16954
"41","MORGAN PARK",41.68957477,-87.66272315,41.6878025716,-87.6689958195,0.556519040719846,27149
"42","MOUNT GREENWOOD",41.69144591,-87.7156731,41.6968692643,-87.7082510863,0.861643898231134,34381
"43","NEAR SOUTH SIDE",41.85531767,-87.62372652,41.856302364,-87.623096276,0.121216601836718,59077
"44","NEW CITY",41.80876829,-87.66098821,41.8087268173,-87.6598934523,0.0907914143821558,12765
"45","NORTH CENTER",41.94318737,-87.68830202,41.9468770743,-87.6849642072,0.49416950095818,57123
"46","NORTH LAWNDALE",41.85883397,-87.71786719,41.858284841,-87.7139023495,0.333761604740852,12034
"47","NORTH PARK",41.98592799,-87.72866342,41.9846052004,-87.7228749233,0.500199121932731,26576
"48","NORWOOD PARK",41.97454295,-87.81134688,41.9856125961,-87.8005792373,1.51794900934425,32875
"49","PORTAGE PARK",41.95318259,-87.77525938,41.9535688793,-87.7646833511,0.875043050939849,24336
"50","PULLMAN",41.69631368,-87.59663224,41.7038819526,-87.5984528484,0.854443705850859,20588
"51","RIVERDALE",41.65176106,-87.60936661,41.6653987336,-87.6052531206,1.55342065035596,8201
"52","ROGERS PARK",42.01096295,-87.67421466,42.010498953,-87.6709899494,0.271192440424552,23939
"53","ROSELAND",41.70724797,-87.62005636,41.7122781929,-87.619353153,0.561994010368093,17949
"54","SOUTH CHICAGO",41.73273359,-87.55117278,41.738992167,-87.5489289447,0.719911789774978,16579
"55","SOUTH DEERING",41.71349784,-87.55073311,41.6915254765,-87.571956806,3.01025333958144,14685
"56","SOUTH SHORE",41.76599,-87.57378734,41.7626448361,-87.5752879316,0.391970244333698,19398
"57","UPTOWN",41.96697757,-87.65494464,41.9661075206,-87.6558716018,0.12333933017198,35787
"58","WASHINGTON PARK",41.78942986,-87.61784034,41.7911312441,-87.6173052281,0.194186382117501,13785
"59","WEST ELSDON",41.79619759,-87.72339188,41.7959029735,-87.7244816869,0.0960345293561848,15754
"60","WEST LAWN",41.77138332,-87.73095337,41.7695687382,-87.727362816,0.359450108034254,16907
"61","WEST PULLMAN",41.67097177,-87.64153305,41.671389681,-87.6383526561,0.268037626531512,16563
"62","WEST RIDGE",41.9977473,-87.69525116,42.0013058802,-87.6939258007,0.410296237581351,23040
"63","WEST TOWN",41.90710182,-87.66773966,41.9021777652,-87.6618772271,0.731060463551579,43198
"64","WOODLAWN",41.77430588,-87.60564803,41.7760055377,-87.6009078268,0.435862565160039,18672
